Año,Mes,Isla,Número de Turistas
2023,enero,Mallorca,425049
2023,febrero,Mallorca,457444
2023,marzo,Mallorca,716450
2023,abril,Mallorca,1364111
2023,mayo,Mallorca,1620943
2023,junio,Mallorca,1735303
2023,julio,Mallorca,2009570
2023,agosto,Mallorca,1934989
2023,septiembre,Mallorca,1719978
2023,octubre,Mallorca,1444275
2023,noviembre,Mallorca,486054
2023,diciembre,Mallorca,524645
2023,enero,Menorca,41833
2023,febrero,Menorca,43620
2023,marzo,Menorca,63663
2023,abril,Menorca,120064
2023,mayo,Menorca,179852
2023,junio,Menorca,266896
2023,julio,Menorca,336029
2023,agosto,Menorca,326431
2023,septiembre,Menorca,244475
2023,octubre,Menorca,139.014
2023,noviembre,Menorca,43.444
2023,diciembre,Menorca,47.408
2023,enero,Ibiza,99881
2023,febrero,Ibiza,96305
2023,marzo,Ibiza,153306
2023,abril,Ibiza,345646
2023,mayo,Ibiza,468101
2023,junio,Ibiza,575849
2023,julio,Ibiza,689148
2023,agosto,Ibiza,671146
2023,septiembre,Ibiza,565129
2023,octubre,Ibiza,373576
2023,noviembre,Ibiza,108632
2023,diciembre,Ibiza,115921
2022,enero,Mallorca,268341
2022,febrero,Mallorca,366285
2022,marzo,Mallorca,574805
2022,abril,Mallorca,1181203
2022,mayo,Mallorca,1474470
2022,junio,Mallorca,1691553
2022,julio,Mallorca,1883236
2022,agosto,Mallorca,1814353
2022,septiembre,Mallorca,1610919
2022,octubre,Mallorca,1324312
2022,noviembre,Mallorca,436498
2022,diciembre,Mallorca,471298
2022,enero,Menorca,29.095
2022,febrero,Menorca,32.129
2022,marzo,Menorca,51.432
2022,abril,Menorca,115.675
2022,mayo,Menorca,177.659
2022,junio,Menorca,259.799
2022,julio,Menorca,332.032
2022,agosto,Menorca,321.705
2022,septiembre,Menorca,233.143
2022,octubre,Menorca,141.105
2022,noviembre,Menorca,46.138
2022,diciembre,Menorca,47.664
2022,enero,Ibiza,71505
2022,febrero,Ibiza,82858
2022,marzo,Ibiza,123234
2022,abril,Ibiza,286545
2022,mayo,Ibiza,413413
2022,junio,Ibiza,549235
2022,julio,Ibiza,643832
2022,agosto,Ibiza,626078
2022,septiembre,Ibiza,518083
2022,octubre,Ibiza,331120
2022,noviembre,Ibiza,103601
2022,diciembre,Ibiza,109470
2021,enero,Mallorca,78449
2021,febrero,Mallorca,69782
2021,marzo,Mallorca,156276
2021,abril,Mallorca,206363
2021,mayo,Mallorca,453516
2021,junio,Mallorca,708585
2021,julio,Mallorca,1181203
2021,agosto,Mallorca,1211714
2021,septiembre,Mallorca,1.060.097
2021,octubre,Mallorca,1.017.915
2021,noviembre,Mallorca,361.501
2021,diciembre,Mallorca,378.540
2021,enero,Menorca,10.702
2021,febrero,Menorca,11.306
2021,marzo,Menorca,19.775
2021,abril,Menorca,23.386
2021,mayo,Menorca,50.599
2021,junio,Menorca,133.767
2021,julio,Menorca,248.310
2021,agosto,Menorca,273.941
2021,septiembre,Menorca,175.079
2021,octubre,Menorca,106.813
2021,noviembre,Menorca,36.226
2021,diciembre,Menorca,41.384
2021,enero,Ibiza,23731
2021,febrero,Ibiza,17935
2021,marzo,Ibiza,34890
2021,abril,Ibiza,52936
2021,mayo,Ibiza,137720
2021,junio,Ibiza,267890
2021,julio,Ibiza,463264
2021,agosto,Ibiza,480475
2021,septiembre,Ibiza,397134
2021,octubre,Ibiza,287882
2021,noviembre,Ibiza,90085
2021,diciembre,Ibiza,92466
2020,enero,Mallorca,403475
2020,febrero,Mallorca,468216
2020,marzo,Mallorca,239622
2020,abril,Mallorca,4191
2020,mayo,Mallorca,11109
2020,junio,Mallorca,71868
2020,julio,Mallorca,601845
2020,agosto,Mallorca,543774
2020,septiembre,Mallorca,235857
2020,octubre,Mallorca,192683
2020,noviembre,Mallorca,93689
2020,diciembre,Mallorca,121508
2020,enero,Menorca,37.961
2020,febrero,Menorca,43.716
2020,marzo,Menorca,21.890
2020,abril,Menorca,923
2020,mayo,Menorca,2.204
2020,junio,Menorca,13.816
2020,julio,Menorca,117.782
2020,agosto,Menorca,151.344
2020,septiembre,Menorca,74.250
2020,octubre,Menorca,31.460
2020,noviembre,Menorca,14.448
2020,diciembre,Menorca,20.057
2020,enero,Ibiza,91.889
2020,febrero,Ibiza,97.393
2020,marzo,Ibiza,51.301
2020,abril,Ibiza,1.563
2020,mayo,Ibiza,4.067
2020,junio,Ibiza,28.224
2020,julio,Ibiza,232.408
2020,agosto,Ibiza,266.952
2020,septiembre,Ibiza,124.736
2020,octubre,Ibiza,70.639
2020,noviembre,Ibiza,31.969
2020,diciembre,Ibiza,40.923
2019,enero,Mallorca,411347
2019,febrero,Mallorca,454553
2019,marzo,Mallorca,665359
2019,abril,Mallorca,1267459
2019,mayo,Mallorca,1509562
2019,junio,Mallorca,1754443
2019,julio,Mallorca,1935769
2019,agosto,Mallorca,1875136
2019,septiembre,Mallorca,1672427
2019,octubre,Mallorca,1256136
2019,noviembre,Mallorca,449528
2019,diciembre,Mallorca,473344
2019,enero,Menorca,35277
2019,febrero,Menorca,37961
2019,marzo,Menorca,50426
2019,abril,Menorca,79981
2019,mayo,Menorca,136869
2019,junio,Menorca,225706
2019,julio,Menorca,278408
2019,agosto,Menorca,283618
2019,septiembre,Menorca,189629
2019,octubre,Menorca,93073
2019,noviembre,Menorca,40121
2019,diciembre,Menorca,42698
2019,enero,Ibiza,88169
2019,febrero,Ibiza,90442
2019,marzo,Ibiza,124669
2019,abril,Ibiza,274807
2019,mayo,Ibiza,428271
2019,junio,Ibiza,550858
2019,julio,Ibiza,625620
2019,agosto,Ibiza,622246
2019,septiembre,Ibiza,513465
2019,octubre,Ibiza,298969
2019,noviembre,Ibiza,96187
2019,diciembre,Ibiza,98913
2018,enero,Mallorca,347683
2018,febrero,Mallorca,395794
2018,marzo,Mallorca,673316
2018,abril,Mallorca,1055735
2018,mayo,Mallorca,1453489
2018,junio,Mallorca,1678884
2018,julio,Mallorca,1905970
2018,agosto,Mallorca,1830869
2018,septiembre,Mallorca,1642249
2018,octubre,Mallorca,1274962
2018,noviembre,Mallorca,456926
2018,diciembre,Mallorca,488508
2018,enero,Menorca,31996
2018,febrero,Menorca,35628
2018,marzo,Menorca,53296
2018,abril,Menorca,66655
2018,mayo,Menorca,130303
2018,junio,Menorca,210197
2018,julio,Menorca,267013
2018,agosto,Menorca,265465
2018,septiembre,Menorca,190426
2018,octubre,Menorca,92833
2018,noviembre,Menorca,38083
2018,diciembre,Menorca,40297
2018,enero,Ibiza,84471
2018,febrero,Ibiza,84299
2018,marzo,Ibiza,142625
2018,abril,Ibiza,247665
2018,mayo,Ibiza,419746
2018,junio,Ibiza,533461
2018,julio,Ibiza,615544
2018,agosto,Ibiza,611650
2018,septiembre,Ibiza,508676
2018,octubre,Ibiza,294398
2018,noviembre,Ibiza,94699
2018,diciembre,Ibiza,95391
2017,enero,Mallorca,317722
2017,febrero,Mallorca,372216
2017,marzo,Mallorca,577430
2017,abril,Mallorca,1100309
2017,mayo,Mallorca,1392234
2017,junio,Mallorca,1612346
2017,julio,Mallorca,1830475
2017,agosto,Mallorca,1754496
2017,septiembre,Mallorca,1547495
2017,octubre,Mallorca,1212271
2017,noviembre,Mallorca,395346
2017,diciembre,Mallorca,395848
2017,enero,Menorca,29846
2017,febrero,Menorca,32335
2017,marzo,Menorca,42647
2017,abril,Menorca,68634
2017,mayo,Menorca,132647
2017,junio,Menorca,201958
2017,julio,Menorca,278623
2017,agosto,Menorca,276073
2017,septiembre,Menorca,187299
2017,octubre,Menorca,81231
2017,noviembre,Menorca,35288
2017,diciembre,Menorca,35873
2017,enero,Ibiza,72190
2017,febrero,Ibiza,71318
2017,marzo,Ibiza,106939
2017,abril,Ibiza,240907
2017,mayo,Ibiza,393416
2017,junio,Ibiza,519728
2017,julio,Ibiza,635688
2017,agosto,Ibiza,628138
2017,septiembre,Ibiza,500339
2017,octubre,Ibiza,282110
2017,noviembre,Ibiza,84826
2017,diciembre,Ibiza,88757
2016,enero,Mallorca,306334
2016,febrero,Mallorca,362858
2016,marzo,Mallorca,635046
2016,abril,Mallorca,860907
2016,mayo,Mallorca,1324194
2016,junio,Mallorca,1471690
2016,julio,Mallorca,1703141
2016,agosto,Mallorca,1640290
2016,septiembre,Mallorca,1424273
2016,octubre,Mallorca,1143549
2016,noviembre,Mallorca,360166
2016,diciembre,Mallorca,363372
2016,enero,Menorca,26717
2016,febrero,Menorca,29207
2016,marzo,Menorca,41880
2016,abril,Menorca,49422
2016,mayo,Menorca,121212
2016,junio,Menorca,183456
2016,julio,Menorca,262391
2016,agosto,Menorca,258963
2016,septiembre,Menorca,165839
2016,octubre,Menorca,74554
2016,noviembre,Menorca,33014
2016,diciembre,Menorca,33758
2016,enero,Ibiza,54553
2016,febrero,Ibiza,56237
2016,marzo,Ibiza,84546
2016,abril,Ibiza,149506
2016,mayo,Ibiza,294408
2016,junio,Ibiza,405445
2016,julio,Ibiza,529307
2016,agosto,Ibiza,548364
2016,septiembre,Ibiza,392963
2016,octubre,Ibiza,186115
2016,noviembre,Ibiza,63135
2016,diciembre,Ibiza,68038
2015,enero,Mallorca,280713
2015,febrero,Mallorca,321469
2015,marzo,Mallorca,507767
2015,abril,Mallorca,847886
2015,mayo,Mallorca,1187914
2015,junio,Mallorca,1289756
2015,julio,Mallorca,1515825
2015,agosto,Mallorca,1516453
2015,septiembre,Mallorca,1247328
2015,octubre,Mallorca,968598
2015,noviembre,Mallorca,340584
2015,diciembre,Mallorca,339327
2015,enero,Menorca,22941
2015,febrero,Menorca,24144
2015,marzo,Menorca,36403
2015,abril,Menorca,49270
2015,mayo,Menorca,93106
2015,junio,Menorca,148754
2015,julio,Menorca,210041
2015,agosto,Menorca,226729
2015,septiembre,Menorca,129426
2015,octubre,Menorca,59813
2015,noviembre,Menorca,27288
2015,diciembre,Menorca,31110
2015,enero,Ibiza,54553
2015,febrero,Ibiza,56237
2015,marzo,Ibiza,84546
2015,abril,Ibiza,149506
2015,mayo,Ibiza,294408
2015,junio,Ibiza,405445
2015,julio,Ibiza,529307
2015,agosto,Ibiza,548364
2015,septiembre,Ibiza,392963
2015,octubre,Ibiza,186115
2015,noviembre,Ibiza,63135
2015,diciembre,Ibiza,68038
2014,enero,Mallorca,270684
2014,febrero,Mallorca,300887
2014,marzo,Mallorca,448908
2014,abril,Mallorca,840038
2014,mayo,Mallorca,1097556
2014,junio,Mallorca,1264179
2014,julio,Mallorca,1467292
2014,agosto,Mallorca,1499375
2014,septiembre,Mallorca,1234022
2014,octubre,Mallorca,917883
2014,noviembre,Mallorca,311696
2014,diciembre,Mallorca,315915
2014,enero,Menorca,23500
2014,febrero,Menorca,22135
2014,marzo,Menorca,28563
2014,abril,Menorca,46150
2014,mayo,Menorca,77445
2014,junio,Menorca,136020
2014,julio,Menorca,187690
2014,agosto,Menorca,214457
2014,septiembre,Menorca,120977
2014,octubre,Menorca,50107
2014,noviembre,Menorca,25465
2014,diciembre,Menorca,27205
2014,enero,Ibiza,48592
2014,febrero,Ibiza,48054
2014,marzo,Ibiza,62113
2014,abril,Ibiza,133844
2014,mayo,Ibiza,276180
2014,junio,Ibiza,395210
2014,julio,Ibiza,502262
2014,agosto,Ibiza,533118
2014,septiembre,Ibiza,395085
2014,octubre,Ibiza,168936
2014,noviembre,Ibiza,54406
2014,diciembre,Ibiza,57256
2013,enero,Mallorca,279217
2013,febrero,Mallorca,312621
2013,marzo,Mallorca,553194
2013,abril,Mallorca,771722
2013,mayo,Mallorca,1103899
2013,junio,Mallorca,1210440
2013,julio,Mallorca,1395820
2013,agosto,Mallorca,1378090
2013,septiembre,Mallorca,1201033
2013,octubre,Mallorca,912034
2013,noviembre,Mallorca,296619
2013,diciembre,Mallorca,296012
2013,enero,Menorca,24126
2013,febrero,Menorca,22407
2013,marzo,Menorca,31786
2013,abril,Menorca,38796
2013,mayo,Menorca,77990
2013,junio,Menorca,125499
2013,julio,Menorca,173349
2013,agosto,Menorca,186125
2013,septiembre,Menorca,108783
2013,octubre,Menorca,49907
2013,noviembre,Menorca,25785
2013,diciembre,Menorca,26888
2013,enero,Ibiza,45445
2013,febrero,Ibiza,43581
2013,marzo,Ibiza,65671
2013,abril,Ibiza,123286
2013,mayo,Ibiza,250962
2013,junio,Ibiza,359735
2013,julio,Ibiza,458024
2013,agosto,Ibiza,479936
2013,septiembre,Ibiza,350037
2013,octubre,Ibiza,155783
2013,noviembre,Ibiza,49895
2013,diciembre,Ibiza,52913
2012,enero,Mallorca,312016
2012,febrero,Mallorca,338179
2012,marzo,Mallorca,535849
2012,abril,Mallorca,773774
2012,mayo,Mallorca,1027395
2012,junio,Mallorca,1186860
2012,julio,Mallorca,1408478
2012,agosto,Mallorca,1356522
2012,septiembre,Mallorca,1183855
2012,octubre,Mallorca,870150
2012,noviembre,Mallorca,315890
2012,diciembre,Mallorca,306679
2012,enero,Menorca,26031
2012,febrero,Menorca,22174
2012,marzo,Menorca,30539
2012,abril,Menorca,38338
2012,mayo,Menorca,74489
2012,junio,Menorca,116085
2012,julio,Menorca,178502
2012,agosto,Menorca,193468
2012,septiembre,Menorca,108466
2012,octubre,Menorca,47154
2012,noviembre,Menorca,24563
2012,diciembre,Menorca,27861
2012,enero,Ibiza,51871
2012,febrero,Ibiza,45431
2012,marzo,Ibiza,68241
2012,abril,Ibiza,119133
2012,mayo,Ibiza,217607
2012,junio,Ibiza,332387
2012,julio,Ibiza,457480
2012,agosto,Ibiza,462690
2012,septiembre,Ibiza,325114
2012,octubre,Ibiza,136958
2012,noviembre,Ibiza,45450
2012,diciembre,Ibiza,48323
2011,enero,Mallorca,344533
2011,febrero,Mallorca,368753
2011,marzo,Mallorca,527669
2011,abril,Mallorca,792654
2011,mayo,Mallorca,988528
2011,junio,Mallorca,1139136
2011,julio,Mallorca,1353987
2011,agosto,Mallorca,1316779
2011,septiembre,Mallorca,1128700
2011,octubre,Mallorca,894646
2011,noviembre,Mallorca,344305
2011,diciembre,Mallorca,327932
2011,enero,Menorca,28928
2011,febrero,Menorca,28482
2011,marzo,Menorca,35740
2011,abril,Menorca,48507
2011,mayo,Menorca,76894
2011,junio,Menorca,116858
2011,julio,Menorca,177177
2011,agosto,Menorca,190212
2011,septiembre,Menorca,106307
2011,octubre,Menorca,52789
2011,noviembre,Menorca,29390
2011,diciembre,Menorca,30113
2011,enero,Ibiza,51093
2011,febrero,Ibiza,51483
2011,marzo,Ibiza,76717
2011,abril,Ibiza,131455
2011,mayo,Ibiza,214896
2011,junio,Ibiza,328666
2011,julio,Ibiza,445451
2011,agosto,Ibiza,450957
2011,septiembre,Ibiza,326920
2011,octubre,Ibiza,150050
2011,noviembre,Ibiza,54699
2011,diciembre,Ibiza,54186
2010,enero,Mallorca,351698
2010,febrero,Mallorca,391656
2010,marzo,Mallorca,576274
2010,abril,Mallorca,620880
2010,mayo,Mallorca,915644
2010,junio,Mallorca,992696
2010,julio,Mallorca,1188864
2010,agosto,Mallorca,1168747
2010,septiembre,Mallorca,982991
2010,octubre,Mallorca,806980
2010,noviembre,Mallorca,378470
2010,diciembre,Mallorca,358182
2010,enero,Menorca,29106
2010,febrero,Menorca,29552
2010,marzo,Menorca,41759
2010,abril,Menorca,45905
2010,mayo,Menorca,76357
2010,junio,Menorca,108673
2010,julio,Menorca,165722
2010,agosto,Menorca,181607
2010,septiembre,Menorca,103085
2010,octubre,Menorca,58733
2010,noviembre,Menorca,36193
2010,diciembre,Menorca,30694
2010,enero,Ibiza,45811
2010,febrero,Ibiza,48532
2010,marzo,Ibiza,73030
2010,abril,Ibiza,94229
2010,mayo,Ibiza,190661
2010,junio,Ibiza,273661
2010,julio,Ibiza,395786
2010,agosto,Ibiza,412798
2010,septiembre,Ibiza,278544
2010,octubre,Ibiza,130254
2010,noviembre,Ibiza,54349
2010,diciembre,Ibiza,51146
2009,enero,Mallorca,365031
2009,febrero,Mallorca,412037
2009,marzo,Mallorca,553704
2009,abril,Mallorca,753465
2009,mayo,Mallorca,927930
2009,junio,Mallorca,1028037
2009,julio,Mallorca,1180024
2009,agosto,Mallorca,1110545
2009,septiembre,Mallorca,949166
2009,octubre,Mallorca,779751
2009,noviembre,Mallorca,387447
2009,diciembre,Mallorca,386240
2009,enero,Menorca,28012
2009,febrero,Menorca,30402
2009,marzo,Menorca,36619
2009,abril,Menorca,50597
2009,mayo,Menorca,74626
2009,junio,Menorca,105136
2009,julio,Menorca,148636
2009,agosto,Menorca,164858
2009,septiembre,Menorca,94882
2009,octubre,Menorca,55820
2009,noviembre,Menorca,36257
2009,diciembre,Menorca,34279
2009,enero,Ibiza,43329
2009,febrero,Ibiza,48681
2009,marzo,Ibiza,60019
2009,abril,Ibiza,87520
2009,mayo,Ibiza,158494
2009,junio,Ibiza,246818
2009,julio,Ibiza,333227
2009,agosto,Ibiza,349648
2009,septiembre,Ibiza,230648
2009,octubre,Ibiza,110493
2009,noviembre,Ibiza,50540
2009,diciembre,Ibiza,51644